2026-05-24 23:55:53 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:55:53 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:55:56 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:55:56 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:55:59 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:55:59 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:02 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:02 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:05 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:05 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:08 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:08 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:11 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:11 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:14 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:14 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:17 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:17 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:20 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:20 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:23 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:23 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
2026-05-24 23:56:26 | INFO     | serial_manager       | Connexion sur COM3 @ 115200...
2026-05-24 23:56:26 | WARNING  | serial_manager       | Connexion échouée : could not open port 'COM3': FileNotFoundError(2, 'Le fichier spécifié est introuvable.', None, 2) — retry dans 3.0s
